College Name,Link
COLLEGE OF ENGINEERING TRIVANDRUM,https://kshec.org/kirf_data_submitted/2022-2023/199
Government Engineering College Thrissur,https://kshec.org/kirf_data_submitted/2022-2023/221
TKM COLLEGE OF ENGINEERING,https://kshec.org/kirf_data_submitted/2022-2023/448
Rajagiri School of Engineering & Technology (AUTONOMOUS),https://kshec.org/kirf_data_submitted/2022-2023/194
Mar Athanasius College of Engineering Kothamangalam,https://kshec.org/kirf_data_submitted/2022-2023/220
SAINTGITS COLLEGE OF ENGINEERING,https://kshec.org/kirf_data_submitted/2022-2023/781
NSS College of Engineering,https://kshec.org/kirf_data_submitted/2022-2023/48
Federal Institute of Science and Technology (FISAT),https://kshec.org/kirf_data_submitted/2022-2023/119
Amal Jyothi College of Engineering,https://kshec.org/kirf_data_submitted/2022-2023/1230
ST. JOSEPH'S COLLEGE OF ENGINEERING AND TECHNOLOGY PALAI,https://kshec.org/kirf_data_submitted/2022-2023/1302
Rajadhani Institute of Engineering and Technology,https://kshec.org/kirf_data_submitted/2022-2023/579
Government Engineering College Barton Hill Thiruvananthapuram,https://kshec.org/kirf_data_submitted/2022-2023/160
Sree Chitra Thirunal College of Engineering,https://kshec.org/kirf_data_submitted/2022-2023/674
Kelappaji college of Agricultural Engineering and Technology,https://kshec.org/kirf_data_submitted/2022-2023/616
SCMS SCHOOL OF ENGINEERING AND TECHNOLOGY,https://kshec.org/kirf_data_submitted/2022-2023/879
GOVERNMENT ENGINEERING COLLEGE KOZHIKODE,https://kshec.org/kirf_data_submitted/2022-2023/188
ADI SHANKARA INSTITUTE OF ENGINEERING AND TECHNOLOGY,https://kshec.org/kirf_data_submitted/2022-2023/80
Mangalam College of Engineering,https://kshec.org/kirf_data_submitted/2022-2023/1393
TOC H INSTITUTE OF SCIENCE & TECHNOLOGY,https://kshec.org/kirf_data_submitted/2022-2023/118
JAWAHARLAL COLLEGE OF ENGINEERING AND TECHNOLOGY,https://kshec.org/kirf_data_submitted/2022-2023/112
MAR BASELIOS COLLEGE OF ENGINEERING AND TECHNOLOGY,https://kshec.org/kirf_data_submitted/2022-2023/734
